"app_name","number_of_classes","time_taken"
"dsencrypt_samp.apk","18","0"
"smssend_packageInstaller.apk","323","1"
"exprespam.apk","12","1"
"cajino_baidu.apk","1959","5"
"fakemart.apk","228","5"
"jollyserv.apk","552","6"
"death_ring_materialflow.apk","97","6"
"scipiex.apk","549","7"
"faketaobao.apk","340","7"
"samsapo.apk","531","7"
"slocker_android_samp.apk","489","8"
"beita_com_beita_contact.apk","387","8"
"the_interview_movieshow.apk","9","8"
"threatjapan_uracto.apk","304","8"
"chat_hook.apk","316","9"
"sms_send_locker_qqmagic.apk","35","9"
"hummingbad_android_samp.apk","4056","12"
"phospy.apk","253","12"
"tetus.apk","58","12"
"fakedaum.apk","258","12"
"overlaylocker2_android_samp.apk","881","13"
"fakeappstore.apk","424","13"
"smssilience_fake_vertu.apk","8","13"
"save_me.apk","1451","14"
"godwon_samp.apk","17","14"
"remote_control_smack.apk","1993","16"
"sms_google.apk","38","16"
"xbot_android_samp.apk","989","18"
"roidsec.apk","15","18"
"fakebank_android_samp.apk","337","18"
"overlay_android_samp.apk","100","19"
"stels_flashplayer_android_update.apk","308","19"
"repane.apk","14","19"
"proxy_samp.apk","20","19"
"chulia.apk","27","19"
"vibleaker_android_samp.apk","3732","28"
"fakeplay.apk","673","29"
"smsstealer_kysn_assassincreed_android_samp.apk","650","29"
"backflash.apk","358","30"
"InactiveActivity.apk","293","1"
"RegisterGlobal1.apk","329","1"
"Exceptions7.apk","327","2"
"File1.apk","850","4"
"ActivityEventSequence3.apk","327","5"
"SubscriberId1.apk","850","6"
"DynamicBoth1.apk","13","6"
"Sensors1.apk","850","6"
"ActivityEventSequence2.apk","327","7"
"View1.apk","294","7"
"Exceptions6.apk","327","7"
"ServiceCommunication1.apk","10","7"
"FieldSensitivity4.apk","294","7"
"RegisterGlobal2.apk","329","7"
"Exceptions4.apk","327","8"
"AnonymousClass1.apk","294","8"
"DeviceId_Service1.apk","1394","9"
"InheritedObjects1.apk","296","9"
"AllReflection.apk","323","9"
"Singletons1.apk","13","9"
"Collector.apk","1077","10"
"JavaIDFunction.apk","322","10"
"DynamicSource1.apk","13","10"
"ActivityEventSequence1.apk","327","11"
"Exceptions5.apk","327","11"
"Location1.apk","1392","12"
"SinkInNativeCode.apk","322","12"
"ServiceLifecycle1.apk","290","12"
"FieldSensitivity1.apk","294","13"
"Exceptions1.apk","327","13"
"StaticInitialization1.apk","294","13"
"TimerTask1.apk","740","14"
"ServiceLifecycle2.apk","12","14"
"FieldSensitivity2.apk","294","14"
"Exceptions2.apk","327","15"
"StringPatternMatching1.apk","11","15"
"Bluetooth1.apk","850","16"
"Unregister1.apk","328","16"
"StaticInitialization2.apk","294","17"
"DynamicSink1.apk","13","17"
"StaticInitialization3.apk","12","17"
"Clone1.apk","11","17"
"Exceptions3.apk","327","17"
"NativeIDFunction.apk","322","17"
"FieldSensitivity3.apk","294","18"
"ImplicitFlow3.apk","296","18"
"FlowSensitivity1.apk","740","19"
"ArrayAccess4.apk","294","19"
"FragmentLifecycle1.apk","456","20"
"BytecodeTamper2.apk","12","20"
"AsynchronousEventOrdering1.apk","11","20"
"BroadcastTaintAndLeak1.apk","9","20"
"BytecodeTamper3.apk","12","20"
"Loop2.apk","293","20"
"ArrayAccess5.apk","293","20"
"VirtualDispatch1.apk","295","21"
"ImplicitFlow2.apk","293","21"
"StringToCharArray1.apk","11","21"
"Reflection9.apk","329","21"
"FragmentLifecycle2.apk","222","22"
"VirtualDispatch3.apk","742","23"
"StrongUpdate1.apk","741","23"
"BytecodeTamper1.apk","12","23"
"MultidimensionalArray1.apk","11","23"
"IMEI1.apk","738","24"
"SimpleUnreachable1.apk","1650","27"
"Loop1.apk","293","27"
"VirtualDispatch2.apk","15","27"
"Reflection8.apk","329","27"
"SimpleAliasing1.apk","741","28"
"SharedPreferenceChanged1.apk","11","28"
"ImplicitFlow1.apk","293","28"
"ImplicitFlow5.apk","293","29"
"ArrayAccess2.apk","293","29"
"BytecodeTamper4.apk","12","29"
"DeviceId_OrderedIntent1.apk","1395","31"
"PlayStore1.apk","739","32"
"IntentSink2.apk","293","32"
"ActivityCommunication8.apk","518","33"
"Executor1.apk","517","33"
"SinkInNativeLibCode.apk","322","33"
"Echoer.apk","456","34"
"ArrayAccess3.apk","293","34"
"ImplicitFlow4.apk","293","35"
"ImplicitFlow6.apk","293","35"
"DeviceId1.apk","850","36"
"ArrayAccess1.apk","293","36"
"VoiceMail1.apk","850","37"
"PlayStore2.apk","6224","50"
"Looper1.apk","741","50"
"Ordering1.apk","328","51"
"IntentSink1.apk","293","51"
"EventOrdering1.apk","518","52"
"UnreachableCode.apk","293","52"
"StartActivityForResult1.apk","456","52"
"VirtualDispatch4.apk","742","54"
"Reflection3.apk","328","54"
"ActivityLifecycle2.apk","294","54"
"ActivityCommunication6.apk","518","55"
"Merge1.apk","741","56"
"StringToOutputStream1.apk","11","56"
"ActivityCommunication7.apk","518","56"
"ActivityLifecycle3.apk","293","57"
"Reflection2.apk","329","57"
"ObjectSensitivity2.apk","294","57"
"Parcel1.apk","13","57"
"ArrayToString1.apk","11","57"
"Battery1.apk","851","58"
"HashMapAccess1.apk","327","59"
"ActivityLifecycle1.apk","293","59"
"Location_Service1.apk","1066","60"
"DirectLeak1.apk","293","60"
"ActivityCommunication5.apk","518","61"
"ActivityCommunication4.apk","518","61"
"OnlyTelephony.apk","320","62"
"Location_Broadcast1.apk","1393","63"
"ComponentNotInManifest1.apk","519","64"
"Reflection1.apk","329","64"
"ObjectSensitivity1.apk","293","64"
"FactoryMethods1.apk","327","65"
"Reflection5.apk","327","65"
"Contacts1.apk","850","66"
"ArrayCopy1.apk","11","66"
"ServiceEventSequence3.apk","532","66"
"ActivityLifecycle4.apk","293","67"
"ApplicationModeling1.apk","13","67"
"ApplicationLifecycle1.apk","294","67"
"PublicAPIField1.apk","11","67"
"ActivityCommunication1.apk","294","67"
"Build1.apk","850","68"
"ServiceEventSequence2.apk","532","69"
"OnlyIntentReceive.apk","321","69"
"Reflection4.apk","329","69"
"Reflection6.apk","11","69"
"UnreachableBoth.apk","11","69"
"Serialization1.apk","12","69"
"ApplicationLifecycle2.apk","294","70"
"ActivityCommunication3.apk","518","70"
"PublicAPIField2.apk","11","70"
"UnreachableSource1.apk","11","70"
"ActivityCommunication2.apk","519","71"
"ApplicationLifecycle3.apk","329","71"
"ContentProvider1.apk","740","72"
"PI1.apk","850","73"
"ServiceEventSequence1.apk","532","74"
"SourceCodeSpecific1.apk","293","74"
"Reflection7.apk","329","74"
"IP1.apk","850","75"
"UnreachableSink1.apk","11","75"
"BroadcastReceiverLifecycle3.apk","517","76"
"SourceInNativeCode.apk","322","76"
"ListAccess1.apk","293","77"
"Button1.apk","293","77"
"LogNoLeak.apk","293","77"
"BroadcastReceiverLifecycle2.apk","517","78"
"IntentSource1.apk","516","78"
"DeviceId_Broadcast1.apk","1393","80"
"Library2.apk","328","80"
"DeviceId_contentProvider1.apk","1395","82"
"Button2.apk","295","82"
"SharedPreferences1.apk","14","82"
"Button3.apk","329","82"
"SendSMS.apk","456","83"
"StartProcessWithSecret1.apk","11","83"
"ActivitySavedState1.apk","11","83"
"AsyncTask1.apk","517","83"
"BroadcastReceiverLifecycle1.apk","290","84"
"LocationLeak1.apk","294","84"
"OnlyTelephony_Reverse.apk","320","84"
"FieldSourceTest.apk","6029","98"
"PrivateDataLeak1.apk","295","98"
"UnresolvableIntent1.apk","518","99"
"OnlyIntent.apk","320","99"
"OnlySMS.apk","321","99"
"OnlyTelephony_Dynamic.apk","320","100"
"StringFormatter1.apk","11","100"
"JavaThread2.apk","517","100"
"MethodOverride1.apk","293","101"
"LocationLeak2.apk","293","101"
"Obfuscation1.apk","328","101"
"OnlyTelephony_Substring.apk","320","102"
"MultiHandlers1.apk","331","102"
"PrivateDataLeak2.apk","293","102"
"Button4.apk","293","103"
"Button5.apk","293","103"
"PrivateDataLeak3.apk","327","103"
"JavaThread1.apk","517","104"
"LocationLeak3.apk","329","104"
